,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
187,2003-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
188,2003-02-01,94.0,262,{'charge_slug': '58-theft-from-building'},theft from building,356.0
189,2003-02-01,1.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
190,2003-03-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
191,2003-03-01,285.0,973,{'charge_slug': '54-retail-theft'},retail theft,1258.0
192,2003-03-01,1.0,67,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,68.0
193,2003-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
194,2003-03-01,85.0,269,{'charge_slug': '58-theft-from-building'},theft from building,354.0
195,2003-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
196,2003-04-01,82.0,336,{'charge_slug': '58-theft-from-building'},theft from building,418.0
197,2003-04-01,307.0,1067,{'charge_slug': '54-retail-theft'},retail theft,1374.0
198,2003-04-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
199,2003-04-01,0.0,81,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,81.0
200,2003-05-01,98.0,318,{'charge_slug': '58-theft-from-building'},theft from building,416.0
201,2003-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
202,2003-05-01,0.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,73.0
203,2003-05-01,291.0,1043,{'charge_slug': '54-retail-theft'},retail theft,1334.0
204,2003-05-01,1.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
205,2003-06-01,0.0,87,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,87.0
206,2003-06-01,297.0,921,{'charge_slug': '54-retail-theft'},retail theft,1218.0
207,2003-06-01,90.0,348,{'charge_slug': '58-theft-from-building'},theft from building,438.0
208,2003-06-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
209,2003-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
210,2003-07-01,0.0,87,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,87.0
211,2003-07-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
